"Date","Price","Open","High","Low","Change %"
"Oct 09, 2019","131.18","130.85","131.83","130.66","0.25%"
"Oct 08, 2019","130.85","131.87","132.14","130.43","-0.79%"
"Oct 07, 2019","131.89","131.86","132.26","131.24","-0.01%"
"Oct 04, 2019","131.90","131.86","132.06","131.28","0.06%"
"Oct 03, 2019","131.82","131.90","132.62","131.47","-0.02%"
"Oct 02, 2019","131.85","132.56","132.67","131.57","-0.58%"
"Oct 01, 2019","132.62","132.84","133.40","131.78","-0.18%"
"Sep 30, 2019","132.86","132.64","133.36","132.47","0.17%"
"Sep 27, 2019","132.64","132.86","133.29","132.31","-0.18%"
"Sep 26, 2019","132.88","133.09","133.31","132.37","-0.17%"
"Sep 25, 2019","133.11","133.72","134.03","132.83","-0.46%"
"Sep 24, 2019","133.72","133.70","134.61","133.54","0.02%"
"Sep 23, 2019","133.69","134.13","134.57","133.34","-0.40%"
"Sep 20, 2019","134.23","135.34","135.74","134.04","-0.78%"
"Sep 19, 2019","135.28","135.28","135.53","134.27","0.01%"
"Sep 18, 2019","135.26","135.22","135.72","134.60","0.06%"
"Sep 17, 2019","135.18","134.49","135.45","133.98","0.57%"
"Sep 16, 2019","134.41","134.65","134.90","133.88","-0.53%"
"Sep 13, 2019","135.12","133.35","135.22","133.26","1.33%"
"Sep 12, 2019","133.34","132.94","133.67","132.17","0.31%"
"Sep 11, 2019","132.93","132.80","133.39","132.68","0.10%"
"Sep 10, 2019","132.80","132.42","132.94","132.02","0.29%"
"Sep 09, 2019","132.42","131.55","132.57","130.81","0.85%"
"Sep 06, 2019","131.31","131.88","132.15","131.24","-0.45%"
"Sep 05, 2019","131.91","130.35","132.22","129.91","1.18%"
"Sep 04, 2019","130.37","128.03","130.47","127.94","1.83%"
"Sep 03, 2019","128.03","128.19","128.28","126.69","-0.12%"
"Sep 02, 2019","128.18","129.15","129.33","127.86","-0.83%"
"Aug 30, 2019","129.25","129.75","129.89","129.08","-0.45%"
"Aug 29, 2019","129.84","129.59","130.07","128.97","0.19%"
"Aug 28, 2019","129.59","129.95","130.10","128.49","-0.27%"
"Aug 27, 2019","129.94","129.67","130.40","129.01","0.20%"
"Aug 26, 2019","129.68","129.20","130.17","128.20","0.19%"
"Aug 23, 2019","129.43","130.40","130.59","129.00","-0.74%"
"Aug 22, 2019","130.40","129.33","130.72","128.76","0.84%"
"Aug 21, 2019","129.31","129.28","129.69","128.87","0.02%"
"Aug 20, 2019","129.28","129.31","129.66","128.26","-0.03%"
"Aug 19, 2019","129.32","129.24","129.57","128.97","0.05%"
"Aug 16, 2019","129.25","128.25","129.59","128.16","0.78%"
"Aug 15, 2019","128.25","127.73","129.00","127.45","0.41%"
"Aug 14, 2019","127.73","128.74","128.80","127.49","-0.78%"
"Aug 13, 2019","128.73","127.15","129.23","126.79","1.23%"
"Aug 12, 2019","127.16","127.08","127.56","126.55","0.02%"
"Aug 09, 2019","127.14","128.63","128.75","126.95","-1.20%"
"Aug 08, 2019","128.69","129.03","129.37","128.26","-0.27%"
"Aug 07, 2019","129.04","129.53","129.66","128.22","-0.41%"
"Aug 06, 2019","129.57","128.66","130.09","128.11","0.72%"
"Aug 05, 2019","128.65","129.56","129.75","128.16","-0.71%"
"Aug 02, 2019","129.57","130.24","130.44","129.06","-0.51%"
"Aug 01, 2019","130.24","132.18","132.59","130.16","-1.51%"
"Jul 31, 2019","132.24","132.00","133.02","131.84","0.20%"
"Jul 30, 2019","131.97","132.92","133.10","131.62","-0.71%"
"Jul 29, 2019","132.92","134.62","134.67","132.85","-1.22%"
"Jul 26, 2019","134.56","135.37","135.43","134.50","-0.60%"
"Jul 25, 2019","135.37","135.06","135.69","134.72","0.23%"
"Jul 24, 2019","135.06","134.61","135.29","134.23","0.33%"
"Jul 23, 2019","134.62","134.54","134.99","134.30","0.02%"
"Jul 22, 2019","134.59","134.73","135.13","134.42","-0.05%"
"Jul 19, 2019","134.66","134.60","135.03","134.51","0.00%"
"Jul 18, 2019","134.66","134.22","134.87","133.86","0.34%"
"Jul 17, 2019","134.21","134.25","134.63","133.94","-0.06%"
"Jul 16, 2019","134.29","135.12","135.31","133.99","-0.58%"
"Jul 15, 2019","135.07","135.64","135.87","134.94","-0.46%"
"Jul 12, 2019","135.69","135.85","136.04","135.50","-0.11%"
"Jul 11, 2019","135.84","135.59","136.07","135.06","0.18%"
"Jul 10, 2019","135.59","135.69","136.07","135.44","-0.09%"
"Jul 09, 2019","135.71","136.04","136.31","135.39","-0.24%"
"Jul 08, 2019","136.04","135.78","136.16","135.53","0.15%"
"Jul 05, 2019","135.84","135.62","136.07","135.47","0.16%"
"Jul 04, 2019","135.62","135.60","135.76","135.46","0.03%"
"Jul 03, 2019","135.58","135.87","135.99","135.17","-0.21%"
"Jul 02, 2019","135.87","137.10","137.24","135.86","-0.88%"
"Jul 01, 2019","137.07","137.00","137.81","136.72","0.07%"
"Jun 28, 2019","136.97","136.66","137.22","136.27","0.23%"
"Jun 27, 2019","136.65","136.78","137.36","136.43","-0.10%"
"Jun 26, 2019","136.78","136.10","136.93","135.88","0.55%"
"Jun 25, 2019","136.03","136.65","136.87","135.80","-0.50%"
"Jun 24, 2019","136.72","136.78","137.14","136.48","-0.01%"
"Jun 21, 2019","136.74","136.29","136.87","135.94","0.34%"
"Jun 20, 2019","136.28","136.66","137.22","136.22","-0.28%"
"Jun 19, 2019","136.66","136.21","137.04","135.78","0.35%"
"Jun 18, 2019","136.19","136.06","136.26","135.38","0.10%"
"Jun 17, 2019","136.06","136.76","136.94","135.97","-0.48%"
"Jun 14, 2019","136.71","137.40","137.56","136.51","-0.49%"
